,ts,device,val
9249,1540540373130,area1,347090.2041675864
9250,1540540373318,area2,673256.5378791321
9251,1540540374099,area1,347090.2081542024
9252,1540540374146,area2,673256.5461896417
9253,1540540375915,area2,673256.5636922921
9254,1540540376400,area1,347090.2163269632
9255,1540540376871,area2,673256.5738725864
9256,1540540377404,area1,347090.2203688048
9257,1540540378579,area1,347090.2253742536
9258,1540540377966,area2,673256.5835159512
9259,1540540378154,area1,347090.22375316557
9260,1540540379704,area1,347090.23039065197
9261,1540540378673,area2,673256.591063632
9262,1540540379782,area2,673256.600797261
9263,1540540380532,area1,347090.2338448321
9264,1540540381173,area2,673256.61459594
9265,1540540381392,area2,673256.6165854593
9266,1540540381579,area1,347090.2386284104
9267,1540540382674,area1,347090.2439193928
9268,1540540382926,area2,673256.633054124
9269,1540540383317,area2,673256.6370861608
9270,1540540383629,area1,347090.24732980237
9271,1540540384270,area1,347090.2508555688
9272,1540540383958,area2,673256.643112992
9273,1540540384850,area2,673256.6532538079
9274,1540540384881,area1,347090.253479904
9275,1540540385818,area1,347090.2567816888
9276,1540540386334,area2,673256.66729978
9277,1540540387163,area1,347090.2630948384
9278,1540540387210,area2,673256.6759574552
9279,1540540388163,area2,673256.6870620176
9280,1540540388366,area1,347090.2682231096
9281,1540540388944,area1,347090.2708120592
9282,1540540389179,area2,673256.6981400432
9283,1540540389773,area1,347090.2742069832
9284,1540540390288,area2,673256.7116124048
9285,1540540390775,area2,673256.7161082079
9286,1540540391277,area1,347090.2820757592
9287,1540540392154,area1,347090.2854701928
9288,1540540392372,area2,673256.7349261392
9289,1540540392950,area1,347090.2885406696
9290,1540540393075,area2,673256.7442248624
9291,1540540393828,area1,347090.2915098736
9292,1540540394281,area2,673256.7578619511
9293,1540540395220,area2,673256.767297504
9294,1540540395548,area1,347090.2985550344
9295,1540540395845,area2,673256.7766411746
9296,1540540396314,area1,347090.3016780928
9297,1540540396783,area1,347090.3034144056
9298,1540540396845,area2,673256.788153884
9299,1540540397783,area1,347090.3076813888
9300,1540540398380,area2,673256.8041452175
9301,1540540399381,area2,673256.8154362864
9302,1540540399522,area1,347090.3152188264
9303,1540540399975,area1,347090.3169354112
9304,1540540400227,area2,673256.8243625616
9305,1540540400806,area2,673256.8311738408
9306,1540540401477,area1,347090.3231293136
9307,1540540401901,area2,673256.8445326217
9308,1540540402354,area1,347090.32965997444
9309,1540540402776,area2,673256.8534956254
9310,1540540403246,area1,347090.336702644
9311,1540540403841,area1,347090.340635036
9312,1540540403888,area2,673256.8670784192
9313,1540540404825,area2,673256.8762148697
9314,1540540405044,area1,347090.3453369656
9315,1540540406044,area2,673256.8924859681
9316,1540540406325,area1,347090.3508007112
9317,1540540406969,area2,673256.901613244
9318,1540540407453,area1,347090.3554572416
9319,1540540407844,area2,673256.9132417616
9320,1540540407906,area1,347090.3570056488
9321,1540540409017,area2,673256.9248772385
9322,1540540409220,area1,347090.3618329176
9323,1540540409958,area1,347090.364674524
9324,1540540410020,area2,673256.9364567864
9325,1540540411038,area1,347090.36863343284
9326,1540540411491,area2,673256.9544176231
9327,1540540411897,area2,673256.9588090441
9328,1540540412147,area1,347090.3734076264
9329,1540540412944,area1,347090.37642642076
9330,1540540413053,area2,673256.9723632311
9331,1540540414681,area1,347090.3829336816
9332,1540540414915,area2,673256.9921882849
9333,1540540415494,area2,673256.9988001201
9334,1540540415728,area1,347090.3878689824
9335,1540540416526,area2,673257.0098213953
9336,1540540416573,area1,347090.3925465536
9337,1540540417263,area2,673257.0186558568
9338,1540540417653,area1,347090.3960518336
9339,1540540418544,area1,347090.3988409168
9340,1540540418966,area1,347090.4003912472
9341,1540540419343,area2,673257.0414808815
9342,1540540419687,area2,673257.046074096
9343,1540540420312,area2,673257.0529988337
9344,1540540420437,area1,347090.4072709728
9345,1540540420859,area2,673257.0600885897
9346,1540540421581,area1,347090.4112592704
9347,1540540421972,area1,347090.4130640632
9348,1540540422284,area2,673257.0765817112
9349,1540540422863,area2,673257.0836543671
9350,1540540423551,area1,347090.4197465384
9351,1540540424207,area1,347090.4219325224
9352,1540540424848,area2,673257.1069544984
9353,1540540425379,area2,673257.1116648624
9354,1540540425723,area1,347090.4279551176
9355,1540540426020,area1,347090.42874368717
9356,1540540426254,area2,673257.1230727417
9357,1540540427333,area1,347090.438378952
9358,1540540427536,area2,673257.1366648232
9359,1540540428067,area1,347090.445675208
9360,1540540427911,area2,673257.1412015528
9361,1540540428911,area1,347090.45015357924
9362,1540540429130,area2,673257.154683892
9363,1540540430052,area1,347090.454741468
9364,1540540430317,area2,673257.1681179368
9365,1540540431224,area2,673257.1791705497
9366,1540540431630,area1,347090.4598104552
9367,1540540432208,area2,673257.1880828552
9368,1540540432520,area1,347090.4634911536
9369,1540540433320,area2,673257.2016844312
9370,1540540433523,area1,347090.4674221032
9371,1540540434056,area2,673257.2106534664
9372,1540540434118,area1,347090.4697640808
9373,1540540435196,area1,347090.474118692
9374,1540540435556,area2,673257.225911748
9375,1540540436027,area2,673257.2329268256
9376,1540540436120,area1,347090.4782954032
